"IRS District City", "IRS District State", "IRS District Numbers Associated With", "Number of IRS District Numbers Per Headquarters"
Andover, MA, "10, 12", 2
Atlanta, GA, "60, 67", 2
Austin, TX, "50, 53", 2
Brookhaven, NY, "01, 02, 03, 04, 05, 06, 11, 13, 14, 16, 21, 22, 23, 25, 34, 51, 52, 54, 55, 56, 57, 58, 59, 65", 23
Cincinnati, OH, "30, 32, 35, 36, 37, 38, 61", 7
Fresno, CA, "15, 24", 2
"Kansas City", MO, "40, 44", 2
Memphis, TN, "94, 95", 2
Ogden, UT, "80, 90", 2
Philadelphia, PA, "33, 39, 41, 42, 43, 48, 62, 63, 64, 66, 68, 71, 72, 73, 74, 75, 76, 77, 82, 83, 84, 85, 86, 87, 88, 91, 92, 93, 98, 99", 30
Internet, "N/A", "20, 26, 27,45, 46, 47, 81, 82, 83, 84, 85, 86, 87", 13
"Small Business Association (SBA)", "N/A", "31", 1
